Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Punch-Drunk Love (2002),"Comedy, Drama, Romance",Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.
John Tucker Must Die (2006),"Comedy, Romance",Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken.
Heaven in Hell (2023),"Drama, Romance","Olga and Maks are 15 years apart. She is a successful woman with an established position, mother of a young adult woman, he is a handsome young man devoted to enjoy life. Fate chooses them to meet, but it also tests their relationship."
L'uomo che guarda (1994),"Drama, Romance",A troubled college professor becomes obsessed with the idea that his emotionally distant wife is having an affair with his invalid father.
Shrek the Third (2007),"Animation, Adventure, Comedy","Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
Stars at Noon (2022),"Drama, Romance, Thriller","A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape. She soon realizes, however, that he may be in even greater danger than she is."
Crimson Peak (2015),"Drama, Horror, Mystery","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
Walking on Sunshine (2014),"Comedy, Drama, Musical","Set to the music of popular hit songs from the 1980s. A beautiful coastal village, present day Italy. After a whirlwind romance, Maddie is preparing to marry gorgeous Italian Raf, and has ...See full summary»"
The Bad Batch (2016),"Action, Horror, Mystery","In a desert dystopia, a young woman is kidnapped by cannibals."
Just One of the Guys (1985),"Comedy, Romance","Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him""."
Serendipity (2001),"Comedy, Romance","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together."
Adoration (2013),"Drama, Romance",A pair of childhood friends and neighbors fall for each other's sons.
Starman (1984),"Romance, Sci-Fi","An alien takes the form of a young Wisconsin widow's husband and makes her drive him to his departure point in Arizona. Distrustful government agents, along with a more ambivalent scientist, give pursuit in hopes of intercepting them."
George of the Jungle (1997),"Action, Adventure, Comedy",A man raised in the jungle by apes falls in love with a wealthy American heiress.
Memoirs of a Geisha (2005),"Drama, Romance",Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.
Soldier in the Rain (1963),"Comedy, Drama, Romance",The bond of friendship between a worldly-wise Army Master Sergeant and his naive worshiper.
Ai no korîda (1976),"Drama, Romance","A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship."
Indecent Proposal (1993),"Drama, Romance","A billionaire offers $1,000,000 to a young married couple for one night with the wife."
Cleopatra (1963),"Biography, Drama, History",Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.
Time Is Up (2021),"Drama, Romance","An accident will force 'Vivien' and Royan to come to a stop and reclaim their lives, one minute at the time, and finally start living in a present that perhaps will prove to be more exciting than any predefined."
Look Both Ways (2022),"Comedy, Drama, Romance","On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career."
Working Girl (1988),"Comedy, Drama, Romance","When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job."
Chung Hing sam lam (1994),"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
Flipped (I) (2010),"Comedy, Drama, Romance",Two eighth-graders start to have feelings for each other despite being total opposites.
Rebecca (I) (2020),"Drama, Mystery, Romance","A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death."
In from the Side (2022),"Drama, Romance, Sport","Following a drunken encounter, two equally attached men from a cash strapped and divided gay rugby club unwittingly sleepwalk into an adulterous affair but must conceal their growing feelings or risk destroying the club they love."
Aloha (I) (2015),"Comedy, Drama, Romance",A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.
The Bridges of Madison County (1995),"Drama, Romance",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
Tenki no ko (2019),"Animation, Drama, Fantasy","Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather."
Do lok tin si (1995),"Comedy, Crime, Drama","This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner."
Take Me Out to the Ball Game (1949),"Comedy, Musical, Romance","Two turn-of-the-century baseball players, who work in vaudeville during the off-season, run into trouble with their team's new female owner and a gambler who doesn't want them to win the pennant."
High Fidelity (2000),"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
Cold Mountain (2003),"Adventure, Drama, Romance","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart."
The Apartment (1960),"Comedy, Drama, Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Elizabethtown (2005),"Comedy, Drama, Romance","During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess."
Un beau matin (2022),"Drama, Romance","With a father suffering from neurodegenerative disease, a young woman lives with her eight-year-old daughter. While struggling to secure a decent nursing home, she runs into an unavailable friend with whom she embarks on an affair."
The Love Witch (2016),"Comedy, Horror, Romance","A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences."
If I Stay (2014),"Drama, Fantasy, Music","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
Class (1983),"Comedy, Drama, Romance","A young man in private school spends one crazy night out, but soon realizes the woman he hooked up with is not who he expected."
The Spectacular Now (2013),"Drama, Romance","A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl."""
Romeo and Juliet (1968),"Drama, Romance","When two young members of feuding families meet, forbidden love ensues."
The Lucky One (2012),"Drama, Mystery, Romance",A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.
What a Girl Wants (2003),"Comedy, Drama, Family","An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election."
About Fate (2022),"Comedy, Romance","The romantic comedy is a tale of two people who believe in love, but seem to never be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on a stormy New Year's Eve and comedy and chaos ensue."
Can You Keep a Secret? (2019),"Comedy, Romance","Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller."
Trainwreck (2015),"Comedy, Drama, Romance","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
Hall Pass (2011),"Comedy, Romance","Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want."
Victor/Victoria (1982),"Comedy, Music, Romance","A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life."
The Great Gatsby (1974),"Drama, Romance","A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love."
A Cinderella Story (2004),"Comedy, Family, Romance","Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance."
Center Stage (2000),"Drama, Music, Romance",A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.
Fool's Gold (I) (2008),"Action, Adventure, Comedy",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.
The Fountain (2006),"Drama, Mystery, Romance","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Malcolm & Marie (2021),"Drama, Romance",A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.
Teen Wolf (1985),"Comedy, Fantasy, Romance",An ordinary high school student discovers that his family has an unusual pedigree.
Great Expectations (1998),"Drama, Romance",Modernization of Charles Dickens' classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.
Thelma (2017),"Drama, Fantasy, Horror",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
The Sleeping Dictionary (2003),"Drama, Romance",A young Englishman is sent to Malaysian Borneo in the 1930s to stay with a tribe as UK's colonial representative. A local woman (J.Alba) helps him understand local tradition and language. He falls in love with her etc. despite the taboo.
He's All That (2021),"Comedy, Romance","A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'."
Knight of Cups (2015),"Drama, Fantasy, Romance","A writer indulging in all that Los Angeles and Las Vegas have to offer, undertakes a search for love and self via a series of adventures with six different women."
Le mépris (1963),"Drama, Romance",Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.
The Hot Spot (1990),"Crime, Drama, Romance","Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities - and the local women - after he robs a bank."
The Age of Innocence (1993),"Drama, Romance","A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin."
Rent (2005),"Drama, Musical, Romance","This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America."
Marry Me (2022),"Comedy, Music, Romance","Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd."
Sliding Doors (1998),"Comedy, Drama, Fantasy","A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel."
Snow White and the Seven Dwarfs (1937),"Animation, Adventure, Family","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
Much Ado About Nothing (1993),"Comedy, Drama, Romance","Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well."
A Family Affair (I) (2023),"Comedy, Romance","An unexpected romance triggers comic consequences for a young woman, her mother, and her boss, grappling with the complications of love, sex, and identity."
Antares (2004),"Drama, Romance","Three stories revolve around the love lives of an adulterous woman, a checkout girl and a single mother."
Sophie's Choice (1982),"Drama, Romance","Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust."
That Awkward Moment (2014),"Comedy, Romance","Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?"""
Hair (1979),"Comedy, Drama, Musical","Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside."
Gräns (2018),"Crime, Drama, Fantasy",A customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence.
West Side Story (1961),"Crime, Drama, Musical","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
Somewhere in Time (1980),"Drama, Fantasy, Romance",A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.
It's Complicated (2009),"Comedy, Drama, Romance","When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried."
Perfect Sense (2011),"Drama, Romance, Sci-Fi",A chef and a scientist fall in love as an epidemic begins to rob people of their sensory perceptions.
A Night at the Roxbury (1998),"Comedy, Music, Romance","Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury."
I Origins (2014),"Drama, Mystery, Romance",A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.
"Se, jie (2007)","Drama, History, Romance","During World War II era, a young woman, Wang Jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, Mr. Yee."
The Other Boleyn Girl (2008),"Biography, Drama, History",Two sisters contend for the affection of King Henry VIII.
Ella Enchanted (2004),"Comedy, Family, Fantasy","Ella is under a spell to be constantly obedient, a fact she must hide from her new stepfamily in order to protect the prince of the land, her friend for whom she's falling."
Stealing Beauty (1996),"Drama, Mystery, Romance","After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself."
Bitter Moon (1992),"Drama, Romance, Thriller","After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife."
The Book of Life (2014),"Animation, Adventure, Comedy","Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears."
Pride and Prejudice and Zombies (2016),"Action, Comedy, Fantasy",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
My Big Fat Greek Wedding 2 (2016),"Comedy, Romance",A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.
A Biltmore Christmas (),"Romance, Fantasy","It follows Lucy as she's hired to write the script for a remake of a holiday movie. She joins a tour of the grounds and when she knocks an hourglass over, she finds herself transported back in time to 1946."
Pompeii (I) (2014),"Action, Adventure, Drama","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him."
Private School (1983),"Comedy, Romance",Chris from a girls' boarding school loves Jim from a nearby boys' boarding school. Jordan also wants Jim and plays dirty. Jim and two friends visit the girls' school posing as girls.
Mermaids (1990),"Comedy, Drama, Romance","An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds."
Real Love (II) (2023),"Drama, Romance",It follows Kendra as she goes to an HBCU in North Carolina. Kendra is determined to focus on school while balancing work study and keeping things professional with her photo class partner.
Grumpy Old Men (1993),"Comedy, Drama, Romance",A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.
Elf (2003),"Adventure, Comedy, Family","Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit."
Blast from the Past (1999),"Comedy, Drama, Romance",A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.
Before Midnight (2013),"Drama, Romance",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
I Want You Back (2022),"Comedy, Romance",Newly-dumped thirtysomethings Peter and Emma team up to sabotage their exes' new relationships and win them back for good.
The Guernsey Literary and Potato Peel Pie Society (2018),"Drama, Romance, War","In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war."
Beach Blanket Bingo (1965),"Comedy, Musical, Romance","Frankie, DeeDee, and the gang meet singing sensation Sugar Kane in a publicity stunt; they all get introduced to skydiving and get caught up in love."
Speed 2: Cruise Control (1997),"Action, Adventure, Crime",A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
Patch Adams (1998),"Biography, Comedy, Drama","The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
Swiss Army Man (2016),"Comedy, Drama, Fantasy","A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
So I Married an Axe Murderer (1993),"Comedy, Romance",A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
Out of Sight (1998),"Comedy, Crime, Drama","A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped."
After Everything (2023),"Drama, Romance","Centers on a teenage Hardin, who is navigating his first love."
A Rainy Day in New York (2019),"Comedy, Romance",A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.
What Women Want (2000),"Comedy, Fantasy, Romance","A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
Lars and the Real Girl (2007),"Comedy, Drama, Romance",A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
Supernova (II) (2020),"Drama, Romance","Sam and Tusker are traveling across England in their old RV to visit friends, family and places from their past. Since Tusker was diagnosed with dementia two years ago, their time together is the most important thing they have."
La migliore offerta (2013),"Crime, Drama, Mystery",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
Buffalo '66 (1998),"Comedy, Drama, Romance","After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit."
Set It Up (2018),"Comedy, Romance",Two corporate executive assistants hatch a plan to match-make their two bosses.
Bella (2006),"Drama, Romance",A chef with a mysterious past spends the day with a waitress who needs a friend.
Uptown Girls (2003),"Comedy, Drama, Romance",A grown-up woman who kept her childish instincts and behavior starts working as the nanny of an 8-year-old girl who actually acts like an adult. But everything ends right-side up.
Dave (1993),"Comedy, Romance",An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.
The Time Machine (1960),"Adventure, Romance, Sci-Fi",A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.
El Dorado (1966),"Drama, Romance, Western","Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water."
Big Night (1996),"Drama, Romance","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food."
Hatari! (1962),"Action, Adventure, Comedy",A group of men trap wild animals in Africa and sell them to zoos before the arrival of a female wildlife photographer threatens to change their ways.
Yes Man (2008),"Comedy, Romance","A man challenges himself to say ""yes"" to everything."
Norbit (2007),"Comedy, Romance","A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her."
Clash by Night (1952),"Drama, Film-Noir, Romance","Mae Doyle comes back to her hometown a cynical woman. Her brother Joe fears that his love, fish cannery worker Peggy, may wind up like Mae. Mae marries Jerry and has a baby; she is happy but restless, drawn to Jerry's friend Earl."
The Thomas Crown Affair (1999),"Crime, Romance, Thriller","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
This Means War (2012),"Action, Comedy, Romance",C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman.
Skin Deep (1989),"Comedy, Drama, Romance","A womanizing alcoholic writer, whose life seems to be falling apart at the seams, repeatedly finds himself in trouble of one sort or another with the law, ex-girlfriends, and jealous boyfriends."
Leap Year (2010),"Comedy, Romance","Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it."
The Crying Game (1992),"Crime, Drama, Romance","A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world."
Blame It on Rio (1984),"Comedy, Romance",Best friends and their daughters vacation in Rio de Janeiro only for one to fall for the other's daughter.
Love Story (1970),"Drama, Romance",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.
Match Point (2005),"Drama, Romance, Thriller","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
Love Hard (2021),"Comedy, Romance","An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love."
Moonstruck (1987),"Comedy, Drama, Romance","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
Ich bin dein Mensch (2021),"Comedy, Drama, Romance","In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy."
Fools Rush In (1997),"Comedy, Drama, Romance","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions."
The Art of Racing in the Rain (2019),"Comedy, Drama, Romance","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life."
Tolkien (2019),"Biography, Drama, Romance","Tolkien's novels were inspired by his mom's storytelling, falling in love with another orphan, Edith, forming a brotherhood with 3 other misfits at school, Oxford, the trench war of WWI and later telling stories to his own kids."
Now and Then (1995),"Comedy, Drama, Romance",Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
Paterson (2016),"Comedy, Drama, Romance","A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details."
Original Sin (2001),"Drama, Mystery, Romance","A woman, along with her lover, plans to con a rich man by marrying him, earning his trust, and then running away with all his money. Everything goes as planned until she falls in love with him."
Father of the Bride (2022),"Comedy, Drama, Romance","A father's coming to grips with his daughter's upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American clan."
Say Anything... (1989),"Comedy, Drama, Romance",A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.
Summer of Sam (1999),"Crime, Drama, Romance","Spike Lee's take on the ""Son of Sam"" murders in New York City during the summer of 1977 centering on the residents of an Italian-American Northeast Bronx neighborhood who live in fear and distrust of one another."
Chocolat (2000),"Drama, Romance",A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
Summerland (I) (2020),"Drama, Romance, War","During World War II, an Englishwoman opens her heart to an evacuee after initially resolving to be rid of him in this moving journey of womanhood, love and friendship."
A Single Man (2009),"Crime, Drama, Romance","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles."
Teen Witch (1989),"Comedy, Fantasy, Romance","High school misfit Louise, at a loss for romance, discovers magical abilities, but the teenage witch finds that she cannot conjure herself true love, so what?"
Diario de una ninfómana (2008),"Drama, Romance","A chronicle of the life of a middle-class French girl's sexual adventures, her then fall into prostitution, and her ultimate redemption."
Honor Society (2022),"Comedy, Romance","Honor's sole focus is getting into Harvard. Willing to do whatever it takes, Honor concocts a plan to take down her top three competitors, until things take a turn when she unexpectedly falls for her biggest competition."
The Vow (2012),"Drama, Romance","A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
Bend It Like Beckham (2002),"Comedy, Drama, Romance","Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional football."
Passages (2023),"Drama, Romance",A gay couple's marriage is thrown into crisis when one of them impulsively begins a passionate affair with a young woman.
Some Kind of Wonderful (1987),"Drama, Romance","When Keith goes out with Amanda, the girl of his dreams, Amanda's ex-boyfriend plans to get back at Keith. Meanwhile, Keith's best friend, tomboy Watts, realizes she has feelings for Keith."
Kaze tachinu (2013),"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
La piscine (1969),"Crime, Drama, Romance","Lovers Marianne and Jean-Paul spend their vacation in a villa on the French Riviera near St-Tropez. Marianne invites her former lover, Harry, and his teenage daughter to stay. Tension rises between them, especially when Jean-Paul seduces Penelope."
The King's Daughter (2022),"Action, Adventure, Family","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature."
Failure to Launch (2006),"Comedy, Romance",A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.
Meet the Fockers (2004),"Comedy, Romance",All hell breaks loose when the Byrnes family meets the Focker family for the first time.
Blackbird (II) (2022),"Action, Romance, Thriller","Troubled secret agent ""Blackbird"" abruptly retires from service and opens a luxurious nightclub in the Caribbean to escape the dark shadows of his past. An old flame arrives and reignites love in his life but she brings danger with her."
Tom Horn (1980),"Biography, Crime, Drama",An ex-army scout is hired by ranchers to kill cattle rustlers but he gets into trouble with the corrupt local officials when he kills a boy.
Boys Don't Cry (1999),"Biography, Crime, Drama","A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
Mallrats (1995),"Comedy, Romance","Both dumped by their girlfriends, two best friends seek refuge in the local mall."
Son in Law (1993),"Comedy, Drama, Romance","Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town."
Hope Springs (2012),"Comedy, Drama, Romance","After thirty years of marriage, a middle-aged couple attends an intense, week-long counseling session to work on their relationship."
Tootsie (1982),"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
Holidate (2020),"Comedy, Romance","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way."
While You Were Sleeping (1995),"Comedy, Drama, Romance",A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.
Random Hearts (1999),"Drama, Mystery, Romance","Police Sergeant Dutch Van Den Broek (Harrison Ford) and U.S. Representative Kay Chandler (Dame Kristin Scott Thomas) lose their spouses in a plane crash, and they soon discover that their spouses were having an affair with each other."
The Ugly Truth (2009),"Comedy, Romance",An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.
Monster's Ball (2001),"Drama, Romance","After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed."
Reality Bites (1994),"Comedy, Drama, Romance","A documentary filmmaker and her fellow Generation X graduates face life after college, looking for work and love in Houston."
Lucía y el sexo (2001),"Drama, Romance","Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life."
O Saathiya (2023),"Comedy, Musical, Romance",The evolving love story of Arjun and Keerthi and the trials and tribulations they face as they mature from adolescence to adulthood.
Spanglish (2004),"Comedy, Drama, Romance","A woman and her daughter emigrate from Mexico for a better life in America, where they start working for a family where the patriarch is a newly celebrated chef with an insecure wife."
Sabrina (1995),"Comedy, Drama, Romance","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
The Sisterhood of the Traveling Pants (2005),"Comedy, Drama, Romance",Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.
10 (1979),"Comedy, Romance","A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman."
The Hours (2002),"Drama, Romance","The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
Heavy (1995),"Drama, Romance","The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant."
Shortbus (2006),"Comedy, Drama, Romance","A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality."
Austenland (2013),"Comedy, Romance","Obsessed withPride and Prejudice(1995), a woman travels to aJane Austentheme park in search for her perfect gentleman."
"The Long, Long Trailer (1954)","Comedy, Romance","Nicky and Tacy are going to be married. Nicky wants to save up money for a house, but Tacy dreams of starting off with their own home on wheels--a trailer."
Dem Horizont so nah (2019),"Drama, Romance",Jessica knows exactly what her life is supposed to look like and where it takes her. But then she meets Danny. He has a complicated past and could confuse all their plans. Jessica has to decide.
Love Wrecked (2005),"Adventure, Comedy, Romance","On a Caribbean cruise, Jenny is marooned on a beach with her rock and roll idol. Deliriously in love with the idea of time alone with him, she manages to hide the fact that they're a stone's throw away from their resort."
